noun,adjective,turker_judgment,wiki_similarity,ldp_similarity
flush,ace,1.6666666666666667,0.33219218254089355,nan
soil,acid,2.25,0.4664376974105835,nan
wood,acre,2.5,0.32950034737586975,0.5828969478607178
alligator,adult,4.0,0.42951855063438416,0.7499443292617798
balloon,air,5.0,0.49144312739372253,0.4238952398300171
conditioner,air,3.3333333333333335,0.5701348185539246,0.4929867386817932
museum,air,2.0,0.36254212260246277,0.11269064247608185
plane,air,5.666666666666667,0.4643898606300354,0.37245047092437744
push,air,2.3333333333333335,0.3535268008708954,0.21132943034172058
pilot,airline,5.0,0.5216485261917114,nan
ride,airplane,3.0,0.44321298599243164,0.26336267590522766
clock,alarm,5.0,0.4934907555580139,0.530876100063324
bedroom,alcove,2.6666666666666665,0.5647532939910889,nan
green,alligator,3.0,0.33654892444610596,0.12637294828891754
wheel,alloy,3.0,0.5003927946090698,nan
plant,aloe,3.5,0.4651617407798767,nan
block,alphabet,3.0,0.36828455328941345,0.3347770571708679
puzzle,alphabet,2.3333333333333335,0.3915344476699829,0.579177737236023
toy,alphabet,2.0,0.38596808910369873,0.23945796489715576
rod,aluminum,3.0,0.4251822829246521,nan
book,animal,2.5,0.4097268879413605,0.3578534722328186
cracker,animal,3.0,0.3535250127315521,0.45069336891174316
fat,animal,6.333333333333333,0.4669487178325653,0.20928539335727692
magazine,animal,2.6666666666666665,0.3801974654197693,0.444185346364975
picture,animal,2.6666666666666665,0.4324701428413391,0.3628779649734497
puppy,animal,7.0,0.5239191055297852,0.3212800920009613
puzzle,animal,2.6666666666666665,0.3308795988559723,0.37822777032852173
boot,ankle,2.0,0.5150343775749207,0.7634461522102356
sock,ankle,4.0,0.460897833108902,0.5513120889663696
aphid,ant,3.0,0.4635271728038788,nan
block,ant,2.0,0.28335142135620117,0.5567471981048584
food,ant,2.5,0.42273059487342834,0.18243497610092163
path,ant,2.0,0.37385866045951843,0.5070603489875793
powder,ant,2.0,0.3544214963912964,0.551388144493103
trail,ant,3.6666666666666665,0.2849152684211731,0.4598398208618164
trap,ant,2.6666666666666665,0.3169898986816406,0.37779465317726135
sandwich,aphid,1.0,0.2791242301464081,nan
barrel,apple,3.0,0.4002780318260193,0.2810823321342468
book,apple,2.0,0.3648923933506012,0.24639394879341125
butter,apple,3.0,0.4371563196182251,0.46464401483535767
cider,apple,4.333333333333333,0.6017017960548401,0.47937682271003723
cinnamon,apple,3.5,0.47772687673568726,0.43977251648902893
cookie,apple,2.0,0.4340553879737854,0.6526150703430176
core,apple,3.5,0.3054811656475067,0.2261347472667694
crunch,apple,2.5,0.3156145215034485,0.24692991375923157
farm,apple,3.0,0.43706750869750977,0.09871303290128708
feast,apple,2.0,0.36464956402778625,0.2421863079071045
green,apple,2.75,0.40887898206710815,0.3175197243690491
head,apple,2.0,0.3641974925994873,0.09980291873216629
juice,apple,3.0,0.5811988115310669,0.6800791025161743
juicer,apple,4.333333333333333,0.3424147963523865,nan
mountain,apple,1.5,0.3212808072566986,0.20039357244968414
oatmeal,apple,2.6666666666666665,0.4289424419403076,0.6905657649040222
peanut,apple,1.0,0.46461573243141174,0.562381386756897
pie,apple,3.5,0.5772964358329773,0.6098136901855469
sauce,apple,3.0,0.430935263633728,0.6456630825996399
skin,apple,2.0,0.4254271388053894,0.46140459179878235
slice,apple,2.6666666666666665,0.4323158860206604,0.45425552129745483
snack,apple,3.0,0.453596830368042,0.4918655455112457
tea,apple,2.6666666666666665,0.38095301389694214,0.5896303653717041
tree,apple,3.0,0.5624256134033203,0.11945714056491852
car,aquarium,1.6666666666666667,0.38602930307388306,0.2854940891265869
music,arcade,2.3333333333333335,0.4378444254398346,0.030807014554739
pit,arm,3.6666666666666665,0.2968153655529022,0.20556287467479706
man,army,2.3333333333333335,0.4953872263431549,0.41639983654022217
officer,army,3.3333333333333335,0.5909090042114258,0.6834603548049927
sign,arrow,3.0,0.378093421459198,0.5244137644767761
advisor,art,2.6666666666666665,0.36634474992752075,nan
museum,art,3.6666666666666665,0.6029074192047119,0.34965023398399353
school,art,3.0,0.5404217839241028,0.29088065028190613
tray,ash,3.0,0.4169800281524658,0.20925402641296387
manager,assistant,4.5,0.6223095655441284,0.7188680768013
belt,asteroid,2.3333333333333335,0.4520889222621918,nan
hit,asteroid,2.0,0.2979198694229126,nan
costume,astronaut,3.0,0.3900011479854584,0.43057844042778015
hat,astronaut,2.0,0.28434059023857117,0.16193225979804993
bedroom,attic,2.5,0.6193667054176331,nan
room,attic,2.0,0.5947301387786865,nan
alarm,baby,2.3333333333333335,0.3570812940597534,0.13048630952835083
alligator,baby,3.0,0.4753868877887726,0.32880038022994995
animal,baby,3.0,0.4500848352909088,0.04855121299624443
bag,baby,2.6666666666666665,0.5058196187019348,0.3047102093696594
basket,baby,2.6666666666666665,0.4071207642555237,0.23646757006645203
bath,baby,2.5,0.5388414263725281,0.270068883895874
bear,baby,3.3333333333333335,0.4096653163433075,0.5294132828712463
bee,baby,3.0,0.36485394835472107,0.26060235500335693
beluga,baby,3.6666666666666665,0.4395304322242737,nan
bird,baby,3.6666666666666665,0.4571150541305542,0.5693748593330383
blanket,baby,3.0,0.40659454464912415,0.4968116879463196
body,baby,3.0,0.4358038604259491,0.3094998598098755
book,baby,2.0,0.3865654170513153,0.1627369225025177
booty,baby,3.5,0.3870352506637573,0.3394772708415985
